,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,8_years_diff,%_increase,average
210,Grand Total,9769457,16511508,19672268,12577355,14633971,14418063,17573364,19344586,23088613,13319156,136.33466015562584,16398798.0
14,Bangladesh,834324,6497926,8562251,0,0,0,0,0,0,-834324,0.0,1766056.0
69,Ghana,523448,609924,774557,1056032,1217888,1729979,2231745,2199021,2227530,1704082,325.54943375464234,1396680.0
198,Ukraine,927470,1080091,1122086,1232306,1255129,1274758,1291999,1470250,1450487,523017,56.39179703925734,1233842.0
134,Nigeria,1570316,2144626,2005876,1975571,2390758,0,0,0,0,-1570316,0.0,1120794.0
201,Uzbekistan,194033,295828,507361,654327,1193657,1387420,1488984,1576179,2114446,1920413,989.7352512201533,1045804.0
83,Iran,470279,426505,547735,692410,1037354,932346,1203531,1390853,1624204,1153925,245.37030145934648,925024.0
53,Egypt,642321,534375,780728,960279,847230,763701,849681,914817,1274751,632430,98.46011573652427,840876.0
57,Ethiopia,745372,662658,785318,775763,753701,845474,780829,844959,1056532,311160,41.74559817111455,805623.0
127,Nepal,356216,322758,397036,496410,613385,892961,1090880,1136622,1187350,831134,233.32303995328675,721513.0
165,Sierra Leone,326452,441250,315741,233519,284205,511120,611983,841688,1011725,685273,209.91539338095646,508631.0
100,Liberia,119229,110960,141749,142298,216249,358224,661631,674936,686869,567640,476.0922258846422,345794.0
39,"Congo, Democratic Republic Of The",92133,138558,208775,229650,339196,12581,500395,615454,775293,683160,741.4932760248771,323559.0
91,Kenya,223586,260734,304083,265474,222749,193641,304693,360023,442966,219380,98.11884465038062,286439.0
31,Cameroon,189622,189752,203906,224509,224020,286564,303783,332778,427259,237637,125.32142894811784,264688.0
194,Turkey,146677,181578,176711,228009,259320,254660,245493,316226,406929,260252,177.43204456049688,246178.0
151,Russia,101324,140444,167600,218862,249670,265086,274746,332069,434353,333029,328.6773123840354,242684.0
177,Sudan,70709,84746,96210,113595,129437,252748,340392,451423,504312,433603,613.2217963766989,227064.0
1,Albania,118913,87189,115357,122567,171362,198625,246129,315842,367231,248318,208.8232573393994,193691.0
