
"ALGERIA  2,897",
"ETHIOPIA  4,496 ",
NIGER  57
ANGOLA  184,
GABON  41,
RWANDA  542
BENIN  611,
"GAMBIA  64",
SAO TOME AND PRINCIPE  0
BOTSWANA  10,
"GHANA  3,549",
SENEGAL  400
BURKINA FASO  317,
"GUINEA  1,470",
SEYCHELLES  0
BURUNDI  193,
GUINEA-BISSAU  5 ,
"SIERRA LEONE  1,790"
CAPE VERDE  24,
"KENYA  2,997",
SOMALIA  436
"CAMEROON  3,720",
LESOTHO  4,
SOUTH AFRICA  500
CENTRAL AFRICAN REPUBLIC  17,
"LIBERIA  3,989",
SOUTH SUDAN  34
CHAD  85,
LIBYA  441,
"SUDAN  3,781"
COMOROS  7,
MADAGASCAR  50,
SWAZILAND  3
"CONGO, REPUBLIC OF THE"  240,
MALAWI  36,
TANZANIA  173
"CONGO, DEMOCRATIC REPUBLIC OF THE  4,497",
MALI  126,
"TOGO  1,667"
"COTE D'IVOIRE  1,029",
MAURITANIA  79,
TUNISIA  181
DJIBOUTI  121,
MAURITIUS  24,
UGANDA  485
"EGYPT  4,495",
"MOROCCO  2,719",
ZAMBIA  68
EQUATORIAL GUINEA  11,
MOZAMBIQUE  6,
ZIMBABWE  149
ERITREA  556,
NAMIBIA  16,
AFGHANISTAN  636,
JAPAN  263,
QATAR  46
BAHRAIN  14,
JORDAN  447,
SAUDI ARABIA  489
BHUTAN  16,
NORTH KOREA  1,
SINGAPORE  43
BRUNEI  2,
KUWAIT  167,
SRI LANKA  777
BURMA  209,
LAOS  6,
SYRIA  414
CAMBODIA  390,
LEBANON  221,
TAIWAN  318
"HONG KONG SPECIAL ADMINISTRATIVE
REGION"  84,
MALAYSIA  70,
THAILAND  60
INDONESIA  167,
MALDIVES  4,
TIMOR-LESTE  0
"IRAN  4,500",
MONGOLIA  197,
UNITED ARAB EMIRATES  197
IRAQ  754,
"NEPAL  4,097",
"YEMEN  1,239"
ISRAEL  159,
OMAN  10,
"ALBANIA  4,484",
GREECE  171,
NORTHERN IRELAND  16
ANDORRA  0,
HUNGARY  205,
NORWAY  47
"ARMENIA  2,844",
ICELAND  13,
Svalbard  1
AUSTRIA  89,
IRELAND  123,
POLAND  863
AZERBAIJAN  961,
ITALY  546,
PORTUGAL  84
"BELARUS  1,466",
"KAZAKHSTAN  1,020",  
Macau  5
BELGIUM  86,
KOSOVO  464,
ROMANIA  516
BOSNIA AND HERZEGOVINA  92,
KYRGYZSTAN  753,
"RUSSIA  4,500"
BULGARIA  776,
LATVIA  91,
SAN MARINO  0
CROATIA  63,
LIECHTENSTEIN  0,
SERBIA  560
CYPRUS  19,
LITHUANIA  257,
SLOVAKIA  82
CZECH REPUBLIC  95,
LUXEMBOURG  2,
SLOVENIA  10
DENMARK  45,
MACEDONIA  514,
SPAIN  311
Faroe Islands  2,
MALTA  2,
SWEDEN  130
ESTONIA  61,
"MOLDOVA  1,418",
SWITZERLAND  85
FINLAND  68,
MONACO  3,
"TAJIKISTAN  1,209"
FRANCE  649,
MONTENEGRO  38,
"TURKEY  4,390"
French Polynesia  15,
NETHERLANDS  79,
TURKMENISTAN  306
New Caledonia  2,
Aruba  8,
"UKRAINE  4,478"
"GEORGIA  1,195 ",  
Curacao  10,
"UZBEKISTAN  4,494"
GERMANY  886,  
Sint Maarten  4,
VATICAN CITY  0 
"BAHAMAS  15",
"AUSTRALIA  2,154",
NEW ZEALAND  546,
SAMOA  10
FIJI  900,  
Cook Islands  19,
SOLOMON ISLANDS  10
KIRIBATI  18,  
Niue  1,
TONGA  129
MARSHALL ISLANDS  0,  
Tokelau  2,
TUVALU  0
"MICRONESIA, FEDERATED STATES OF  6",
PALAU  3,
VANUATU  17
NAURU  25,
PAPUA NEW GUINEA  23,
ANTIGUA AND BARBUDA  2,
DOMINICA  8,
PARAGUAY  7
ARGENTINA  109,
"ECUADOR  1,228",
SAINT KITTS AND NEVIS  1
BARBADOS  2,
GRENADA  11,
SAINT LUCIA  14
BELIZE  1,
GUATEMALA  120,
SAINT VINCENT AND THE GRENADINES  8
BOLIVIA  52,
GUYANA  10,
SURINAME  6
CHILE  76,
HONDURAS  144,
TRINIDAD AND TOBAGO  79
COSTA RICA  66,
NICARAGUA  51,
URUGUAY  36
CUBA  733,
PANAMA  22,
"VENEZUELA  2,209"
