Afghanistan,"7,287","8,990","16,277","15,170","16,315","31,485","12,885","14,904","27,789"
Albania,"59,241","63,326","122,567","83,615","87,747","171,362","100,472","98,153","198,625"
Algeria,"98,417","29,772","128,189","97,683","30,189","127,872","122,698","40,393","163,091"
Andorra,102,45,147,106,38,144,88,46,134
Angola,"1,543","2,035","3,578","2,329","3,555","5,884","3,837","5,361","9,198"
Antigua and Barbuda,376,352,728,383,372,755,349,299,648
Argentina,"5,155","5,091","10,246","6,289","6,564","12,853","5,819","6,335","12,154"
Armenia,"42,131","55,548","97,679","48,867","64,814","113,681","56,519","74,569","131,088"
Aruba,299,330,629,325,340,665,285,271,556
Australia,"12,423","5,694","18,117","14,756","6,865","21,621","14,233","6,346","20,579"
Austria,"5,084","3,174","8,258","5,398","3,434","8,832","4,992","2,998","7,990"
Azerbaijan,"11,834","13,606","25,440","12,741","14,693","27,434","13,986","15,335","29,321"
Bahamas,"1,752","1,604","3,356","1,832","1,825","3,657","1,830","1,755","3,585"
Bahrain,779,"1,025","1,804",852,"1,231","2,083",818,"1,178","1,996"
Bangladesh,,,0,N/A,N/A,N/A,N/A,N/A,N/A
Barbados,633,468,"1,101",659,515,"1,174",557,424,981
Belgium,"4,097","3,130","7,227","4,671","3,566","8,237","4,675","3,693","8,368"
Belize,589,644,"1,233",751,914,"1,665",401,530,931
Benin,"40,275","7,391","47,666","28,453","7,634","36,087","101,531","14,248","115,779"
Bhutan,459,494,953,528,574,"1,102","1,275","1,143","2,418"
Bolivia,"4,244","4,198","8,442","3,105","3,414","6,519","2,743","2,925","5,668"
Bosnia and Herzegovina,"3,015","3,079","6,094","5,093","5,263","10,356","6,088","5,956","12,044"
Botswana,453,416,869,448,400,848,423,365,788
Brazil,,,0,N/A,N/A,N/A,N/A,N/A,N/A
Brunei,128,142,270,118,127,245,98,95,193
Bulgaria,"52,506","44,633","97,139","55,687","48,191","103,878","48,840","42,339","91,179"
Burkina Faso,"12,154","3,479","15,633","11,840",3447,"15,287","16,404","4,311","20,715"
Burma,"26,060","18,347","44,407","24,550","17,198","41,748","25,118","17,963","43,081"
Burundi,"3,724","2,632","6,356","4,287","3,444","7,731","5,871","4,504","10,375"
Cambodia,"103,810","15,328","119,138","107,140","13,295","120,435","173,063","24,320","197,383"
Cameroon,"159,495","65,014","224,509","159,489","64,531","224,020","208,056","78,508","286,564"
Cape Verde,"1,029",812,"1,841",740,652,"1,392",415,413,828
Central African Republic,593,402,995,"1,303","1,062","2,365","1,073",773,"1,846"
Chad,"2,012",998,"3,010","1,990",993,"2,983","6,286","1,274","7,560"
Chile,"1,706","1,714","3,420","1,738","1,821","3,559","1,678","1,742","3,420"
Christmas Island,4,2,6,9,10,19,12,5,17
Cocos Islands,15,20,35,19,6,25,10,1,11
Comoros,306,196,502,313,257,570,398,203,601
"Congo, Democratic Republic of The","117,092","112,558","229,650","173,043","166,153","339,196","7,381","5,200","12,581"
"Congo, Republic of The","5,117","3,977","9,094","6,479","4,998","11,477","227,474","219,014","446,488"
Cook Islands,23,9,32,35,32,67,78,71,149
Costa Rica,"2,236","2,129","4,365","3,236","3,120","6,356","2,900","2,807","5,707"
Cote d'Ivoire,"36,885","12,836","49,721","51,646","16,217","67,863","69,606","19,628","89,234"
Croatia,"3,161","2,495","5,656","4,469","3,456","7,925","3,571","2,808","6,379"
Cuba,"23,131","23,613","46,744","27,468","29,499","56,967","55,685","57,313","112,998"
Curacao,310,331,641,325,406,731,267,279,546
Cyprus,778,563,"1,341",921,782,"1,703",908,777,"1,685"
Czech Republic,"4,258","2,769","7,027","4,835","3,306","8,141","4,687","3,124","7,811"
Denmark,"2,794","2,276","5,070","2,969","2,420","5,389","2,737","2,318","5,055"
Djibouti,"3,160","1,263","4,423","2,974","1,455","4,429","3,407","1,498","4,905"
Dominica,802,800,"1,602",828,904,"1,732",720,734,"1,454"
Ecuador,,,0,N/A,N/A,N/A,N/A,N/A,N/A
Egypt,"394,832","565,447","960,279","338,081","509,149","847,230","309,143","454,558","763,701"
Equatorial Guinea,291,283,574,319,289,608,305,272,577
Eritrea,"27,395","19,935","47,330","20,400","15,414","35,814","23,809","18,658","42,467"
Estonia,"2,270","1,870","4,140","2,579","2,101","4,680","2,293","1,698","3,991"
Ethiopia,"582,238","193,525","775,763","573,417","180,284","753,701","640,165","205,309","845,474"
Faroe Islands,59,46,105,78,61,139,72,39,111
Fiji,"5,079","5,262","10,341","5,977","7,752","13,729","4,420","5,669","10,089"
Finland,"3,030","2,931","5,961","3,190","3,194","6,384","3,021","3,084","6,105"
France,"26,687","17,143","43,830","31,319","21,075","52,394","32,298","22,190","54,488"
French Guiana,,,0,,,0,,,0
French Polynesia,289,322,611,347,357,704,281,298,579
"French Southern and Antarctic
Lands",26,11,37,32,20,52,27,18,45
Gabon,"1,791",803,"2,594","1,856",883,"2,739","2,679",966,"3,645"
Gambia,"4,218","2,006","6,224","2,893","1,727","4,620","4,193","1,932","6,125"
Georgia,"25,253","28,372","53,625","21,755","24,696","46,451","24,916","28,479","53,395"
Germany,"54,531","39,945","94,476","55,876","40,423","96,299","53,786","38,390","92,176"
Ghana,"908,910","147,122","1,056,032","1,085,742","132,146","1,217,888","1,537,292","192,687","1,729,979"
Greece,"4,428","3,675","8,103","5,862","5,173","11,035","5,854","5,136","10,990"
Greenland,34,14,48,45,23,68,38,16,54
Grenada,"1,057",713,"1,770",791,543,"1,334",642,464,"1,106"
Guadeloupe,,,0,,,0,,,0
Guatemala,,,0,"6,690","6,961","13,651","3,086","3,912","6,998"
Guinea,"72,096","16,839","88,935","84,410","21,762","106,172","133,649","30,211","163,860"
Guinea-Bissau,327,239,566,238,159,397,332,173,505
Guyana,"1,751","2,019","3,770","1,666","1,910","3,576","1,501","1,768","3,269"
