Afghanistan,"32,950","33,001","65,951","39,672","43,605","83,277","58,576","64,179","122,755"
Albania,"127,277","118,852","246,129","162,521","153,321","315,842","189,168","178,063","367,231"
Algeria,"147,732","56,701","204,433","176,403","76,330","252,733","229,410","113,447","342,857"
Andorra,105,81,186,121,45,166,123,52,175
Angola,"4,573","6,973","11,546","6,175","8,684","14,859","9,410","13,409","22,819"
Antigua and Barbuda,344,293,637,370,271,641,296,229,525
Argentina,"8,420","9,307","17,727","8,828","9,481","18,309","9,803","10,008","19,811"
Armenia,"71,854","96,261","168,115","96,389","130,156","226,545","110,725","156,342","267,067"
Aruba,310,293,603,318,278,596,329,282,611
Australia,"16,933","7,955","24,888","18,382","8,322","26,704","18,118","8,235","26,353"
Austria,"5,320","3,338","8,658","5,503","3,566","9,069","5,323","3,582","8,905"
Azerbaijan,"30,382","23,811","54,193","38,557","34,436","72,993","61,535","62,516","124,051"
Bahamas,"2,170","2,093","4,263","1,951","1,630","3,581","1,898","1,643","3,541"
Bahrain,"1,037","1,469","2,506","1,216","1,448","2,664","1,438","1,574","3,012"
Barbados,634,450,"1,084",635,442,"1,077",568,423,991
Belarus,"52,485","46,282","98,767","70,266","64,958","135,224","86,133","85,001","171,134"
Belgium,"5,285","4,275","9,560","5,329","4,293","9,622","5,352","4,322","9,674"
Belize,575,600,"1,175",358,379,737,450,480,930
Benin,"107,089","29,232","136,321","95,093","22,539","117,632","96,550","25,221","121,771"
Bhutan,"1,516","1,596","3,112","2,008","2,215","4,223","1,986","2,035","4,021"
Bolivia,"3,887","4,014","7,901","3,684","3,814","7,498","4,165","4,497","8,662"
Bosnia and Herzegovina,"5,005","5,445","10,450","6,265","6,083","12,348","5,610","5,928","11,538"
Botswana,526,453,979,505,454,959,646,549,"1,195"
Brunei,138,136,274,129,122,251,160,118,278
Bulgaria,"49,869","44,644","94,513","46,107","42,249","88,356","38,614","35,702","74,316"
Burkina Faso,"20,007","4,988","24,995","24,188","6,485","30,673","32,933","8,028","40,961"
Burma,"24,187","17,856","42,043","29,142","21,633","50,775","24,897","19,855","44,752"
Burundi,"12,050","9,836","21,886","11,067","9,899","20,966","14,499","12,609","27,108"
Cambodia,"225,098","26,850","251,948","250,815","31,308","282,123","242,758","28,845","271,603"
Cameroon,"220,894","82,889","303,783","238,928","93,850","332,778","300,924","126,335","427,259"
Cape Verde,650,673,"1,323",756,634,"1,390","1,137",952,"2,089"
Central African Republic,"1,269",822,"2,091","1,142",716,"1,858","1,630",986,"2,616"
Chad,"3,727","1,150","4,877","4,179","1,582","5,761","6,758","2,522","9,280"
Chile,"2,562","2,836","5,398","4,154","3,550","7,704","8,595","7,157","15,752"
Christmas Island,7,5,12,11,5,16,9,6,15
Cocos Keeling Islands,17,3,20,24,16,40,31,8,39
Comoros,484,293,777,353,267,620,381,287,668
"Congo, Republic of The","8,216","6,105","14,321","9,556","6,895","16,451","15,784","11,199","26,983"
"Congo, Democratic Republic of The","258,895","241,500","500,395","330,601","284,853","615,454","424,636","350,657","775,293"
Cook Islands,90,74,164,108,82,190,157,117,274
Costa Rica,"4,496","3,885","8,381","3,724","3,247","6,971","4,963","3,909","8,872"
Cote d'Ivoire,"93,019","24,146","117,165","128,228","25,917","154,145","208,258","35,400","243,658"
Croatia,"3,894","3,036","6,930","3,647","2,782","6,429","3,649","2,618","6,267"
Cuba,"176,668","185,700","362,368","61,301","66,970","128,271","55,938","58,622","114,560"
Curacao,303,310,613,264,276,540,271,300,571
Cyprus,"1,070",927,"1,997",977,805,"1,782","1,022",784,"1,806"
Czech Republic,"5,285","3,557","8,842","5,254","3,666","8,920","5,155","3,559","8,714"
Denmark,"2,848","2,357","5,205","2,689","2,151","4,840","2,668","2,130","4,798"
Djibouti,"5,794","2,669","8,463","7,105","3,391","10,496","9,253","4,878","14,131"
Dominica,733,811,"1,544",735,708,"1,443",659,658,"1,317"
Ecuador,N/A,N/A,N/A,N/A,N/A,N/A,"96,983","101,702","198,685"
Egypt,"336,780","512,901","849,681","354,184","560,633","914,817","490,619","784,132","1,274,751"
Equatorial Guinea,376,352,728,452,400,852,542,471,"1,013"
Eritrea,"27,034","22,635","49,669","27,083","23,912","50,995","34,183","28,998","63,181"
Estonia,"2,396","1,771","4,167","2,341","1,777","4,118","2,488","1,929","4,417"
Ethiopia,"605,213","175,616","780,829","643,549","201,410","844,959","787,814","268,718","1,056,532"
Faroe Islands,62,42,104,67,38,105,60,36,96
Federated States of Micronesia,33,20,53,27,19,46,35,24,59
Fiji,"5,586","7,381","12,967","5,715","7,164","12,879","5,545","6,828","12,373"
Finland,"3,357","3,438","6,795","3,328","3,146","6,474","3,200","2,872","6,072"
France,"39,091","27,618","66,709","39,808","27,804","67,612","41,927","29,037","70,964"
French Polynesia,323,342,665,282,305,587,272,284,556
French Southern and Antarctic Lands,24,18,42,22,18,40,32,16,48
Gabon,"3,245","1,367","4,612","3,978","1,711","5,689","4,728","2,422","7,150"
Georgia,"33,830","40,159","73,989","44,258","55,093","99,351","54,098","68,011","122,109"
Germany,"51,328","37,603","88,931","52,373","39,525","91,898","51,903","40,581","92,484"
Ghana,"1,976,818","254,927","2,231,745","1,953,577","245,444","2,199,021","1,973,057","254,473","2,227,530"
Greece,"5,900","5,231","11,131","6,707","5,694","12,401","7,405","5,883","13,288"
Greenland,42,11,53,42,17,59,66,26,92
Grenada,559,448,"1,007",606,410,"1,016",506,362,868
Guatemala,"4,425","5,194","9,619","4,793","5,449","10,242","9,292","9,103","18,395"
